chapter,chapter_group,council,org_type,family,custom_group
Alpha Sigma Phi,Alpha Sigma Phi,IFC,Fraternity,IFC,
Beta Upsilon Chi,Beta Upsilon Chi,IFC,Fraternity,IFC,
Delta Sigma Phi,Delta Sigma Phi,IFC,Fraternity,IFC,
Delta Tau Delta,Delta Tau Delta,IFC,Fraternity,IFC,
Kappa Alpha Order,Kappa Alpha Order,IFC,Fraternity,IFC,
Kappa Sigma,Kappa Sigma,IFC,Fraternity,IFC,
Lambda Chi Alpha,Lambda Chi Alpha,IFC,Fraternity,IFC,
Phi Delta Theta,Phi Delta Theta,IFC,Fraternity,IFC,
Phi Gamma Delta,Phi Gamma Delta,IFC,Fraternity,IFC,
Phi Kappa Sigma,Phi Kappa Sigma,IFC,Fraternity,IFC,
Phi Kappa Tau,Phi Kappa Tau,IFC,Fraternity,IFC,
Pi Kappa Alpha,Pi Kappa Alpha,IFC,Fraternity,IFC,
Pi Kappa Phi,Pi Kappa Phi,IFC,Fraternity,IFC,
Sigma Alpha Epsilon,Sigma Alpha Epsilon,IFC,Fraternity,IFC,
Sigma Chi,Sigma Chi,IFC,Fraternity,IFC,
Sigma Nu,Sigma Nu,IFC,Fraternity,IFC,
Theta Chi,Theta Chi,IFC,Fraternity,IFC,
Alpha Delta Pi,Alpha Delta Pi,PHC,Sorority,PHC,
Alpha Gamma Delta,Alpha Gamma Delta,PHC,Sorority,PHC,
Alpha Xi Delta,Alpha Xi Delta,PHC,Sorority,PHC,
Chi Omega,Chi Omega,PHC,Sorority,PHC,
Delta Gamma,Delta Gamma,PHC,Sorority,PHC,
Delta Zeta,Delta Zeta,PHC,Sorority,PHC,
Gamma Phi Beta,Gamma Phi Beta,PHC,Sorority,PHC,
Zeta Tau Alpha,Zeta Tau Alpha,PHC,Sorority,PHC,
"Alpha Kappa Alpha Sorority, Inc.",Alpha Kappa Alpha,MGC,Sorority,MGC,
"Alpha Phi Alpha Fraternity, Inc.",Alpha Phi Alpha,MGC,Fraternity,MGC,
"Delta Sigma Theta Sorority, Inc.",Delta Sigma Theta,MGC,Sorority,MGC,
"Iota Phi Theta Fraternity, Inc.",Iota Phi Theta,MGC,Fraternity,MGC,
"Kappa Alpha Psi Fraternity, Inc.",Kappa Alpha Psi,MGC,Fraternity,MGC,
"Omega Psi Phi Fraternity, Inc.",Omega Psi Phi,MGC,Fraternity,MGC,
"Phi Beta Sigma Fraternity, Inc.",Phi Beta Sigma,MGC,Fraternity,MGC,
"Sigma Gamma Rho Sorority, Inc.",Sigma Gamma Rho,MGC,Sorority,MGC,
"Zeta Phi Beta Sorority, Inc.",Zeta Phi Beta,MGC,Sorority,MGC,
"Alpha Sigma Rho Sorority, Inc.",Alpha Sigma Rho,NPHC,Sorority,NPHC,
"Kappa Delta Chi, Sorority, Inc.",Kappa Delta Chi,NPHC,Sorority,NPHC,
"Lambda Delta Psi Sorority, Inc.",Lambda Delta Psi,NPHC,Sorority,NPHC,
"Omega Delta Phi Fraternity, Inc.",Omega Delta Phi,NPHC,Fraternity,NPHC,
"Omega Phi Gamma Fraternity, Inc.",Omega Phi Gamma,NPHC,Fraternity,NPHC,
"Sigma Delta Lambda Sorority, Inc.",Sigma Delta Lambda,NPHC,Sorority,NPHC,
"Sigma Lambda Beta Fraternity, Inc.",Sigma Lambda Beta,NPHC,Fraternity,NPHC,
"Sigma Lambda Gamma Sorority, Inc.",Sigma Lambda Gamma,NPHC,Sorority,NPHC,
